MODEL,MODEL_INDEX,MODEL_DESCRIPTION,FORECAST_HORIZON,PAST_HISTORY,TRAIN_MAE,TEST_MAE,TRAIN_TIME,TEST_TIME
rf,1,"(100, 3, 2, 3)",1,60,0.00017256823189744773,0.0001578799223829983,0.6627070903778076,0.008551836013793945
rf,2,"(100, 3, 2, 7)",1,60,0.00017228599986394272,0.00015923809848730273,0.8414418697357178,0.007136106491088867
rf,3,"(100, 3, 4, 1)",1,60,0.00017211777638010022,0.00015910682990604694,0.8370888233184814,0.007515907287597656
rf,4,"(100, 3, 4, 3)",1,60,0.00017191626728269667,0.00015831631945526192,0.4828059673309326,0.012678861618041992
rf,5,"(100, 3, 4, 7)",1,60,0.00017172287563235484,0.0001571330043870036,0.4844040870666504,0.008750200271606445
rf,6,"(100, 3, 8, 1)",1,60,0.000171610497063818,0.00015574670924180017,0.5419361591339111,0.014420032501220703
rf,7,"(100, 3, 8, 3)",1,60,0.0001714422067610726,0.00015304620968255663,0.7080719470977783,0.011522769927978516
rf,8,"(100, 3, 8, 7)",1,60,0.00017133429771257457,0.00015155355327134347,0.44178295135498047,0.010442972183227539
rf,9,"(100, 6, 2, 1)",1,60,0.0001712852209531506,0.00015160191654755136,0.8592760562896729,0.008214950561523438
rf,10,"(100, 6, 2, 3)",1,60,0.00017124762059207374,0.00015142903885795282,0.818497896194458,0.007253885269165039
rf,11,"(100, 6, 2, 7)",1,60,0.00017121390779709398,0.00015149734789739818,0.7825567722320557,0.00750279426574707
rf,12,"(100, 6, 4, 1)",1,60,0.00017120326265523681,0.00015137039768337121,1.2067570686340332,0.008300065994262695
rf,13,"(100, 6, 4, 3)",1,60,0.00017117870594013593,0.00015135595629939502,1.0350751876831055,0.009477853775024414
rf,14,"(100, 6, 4, 7)",1,60,0.0001711148243336022,0.0001513859768536904,1.1727337837219238,0.008842945098876953
rf,15,"(100, 6, 8, 1)",1,60,0.00017108759077974546,0.00015147406222898192,1.3450400829315186,0.007905006408691406
rf,16,"(100, 6, 8, 3)",1,60,0.0001710509833187835,0.00015141956743370446,1.3991508483886719,0.014396190643310547
rf,17,"(100, 6, 8, 7)",1,60,0.00017098495971675483,0.00015140776442828765,1.1008422374725342,0.007349967956542969
rf,18,"(100, 8, 2, 1)",1,60,0.00017093864229208495,0.00015140266550753086,1.4563558101654053,0.021859169006347656
rf,19,"(100, 8, 2, 3)",1,60,0.00017091550081368693,0.00015139759627838352,1.4328100681304932,0.011475086212158203
rf,20,"(100, 8, 2, 7)",1,60,0.00017088136190931947,0.00015140181379101297,1.120093822479248,0.007340669631958008
rf,21,"(100, 8, 4, 1)",1,60,0.00017083330382025211,0.00015141186332916343,1.1512367725372314,0.009114980697631836
rf,22,"(100, 8, 4, 3)",1,60,0.0001707934550368113,0.0001513829835309402,1.100100040435791,0.008527040481567383
rf,23,"(100, 8, 4, 7)",1,60,0.00017076997107855454,0.00015139260087859523,1.408362865447998,0.008373022079467773
rf,24,"(100, 8, 8, 1)",1,60,0.00017072358127995265,0.0001514010576885792,1.5723028182983398,0.027196884155273438
rf,25,"(100, 8, 8, 3)",1,60,0.00017070238495505585,0.00015140136233285703,1.325793981552124,0.007421016693115234
rf,26,"(100, 8, 8, 7)",1,60,0.0001706659146446765,0.00015159443336074192,0.949084997177124,0.008362054824829102
rf,27,"(200, 3, 2, 1)",1,60,0.00017063118157949748,0.0001504198470592189,1.3740239143371582,0.012101173400878906
rf,28,"(200, 3, 2, 3)",1,60,0.00017061386352414088,0.0001504021173871704,1.737048625946045,0.01940298080444336
rf,29,"(200, 3, 2, 7)",1,60,0.00017057903059810317,0.0001502954682496287,0.8961279392242432,0.014039993286132812
rf,30,"(200, 3, 4, 1)",1,60,0.00017056850749188184,0.00015030981558776318,0.9028222560882568,0.012428998947143555
rf,31,"(200, 3, 4, 3)",1,60,0.00017054694823276644,0.00015029428467186313,0.9038949012756348,0.011997222900390625
rf,32,"(200, 3, 4, 7)",1,60,0.00017052998782396357,0.0001503067411539038,0.9137909412384033,0.014541864395141602
rf,33,"(200, 3, 8, 1)",1,60,0.0001705112005101028,0.0001503251438990524,0.9253058433532715,0.012166976928710938
rf,34,"(200, 3, 8, 3)",1,60,0.00017048794300488673,0.00015031113693665698,0.9017670154571533,0.011664867401123047
rf,35,"(200, 3, 8, 7)",1,60,0.00017045575699863364,0.0001502839193119825,0.9261569976806641,0.011995077133178711
rf,36,"(200, 6, 2, 1)",1,60,0.00017044411111893354,0.0001507202488727551,1.510915994644165,0.014691829681396484
rf,37,"(200, 6, 2, 3)",1,60,0.00017043405411824132,0.0001510080721297137,1.596977949142456,0.01400303840637207
rf,38,"(200, 6, 2, 7)",1,60,0.00017040762900581645,0.0001511220966281774,1.9440038204193115,0.01382589340209961
rf,39,"(200, 6, 4, 1)",1,60,0.00017040264823480806,0.00015136991774844456,1.8334381580352783,0.01418304443359375
rf,40,"(200, 6, 4, 3)",1,60,0.00017038789731175846,0.0001515798248586466,2.7573680877685547,0.014564275741577148
rf,41,"(200, 6, 4, 7)",1,60,0.00017037504939117405,0.00015163929351026548,1.6367180347442627,0.014048099517822266
rf,42,"(200, 6, 8, 1)",1,60,0.00017036429823328678,0.00015194333632374073,2.2554478645324707,0.02739405632019043
rf,43,"(200, 6, 8, 3)",1,60,0.000170350942208782,0.00015224912242748907,4.793118000030518,0.030242204666137695
rf,44,"(200, 6, 8, 7)",1,60,0.0001703364349790142,0.00015221901974040805,3.5452849864959717,0.019501924514770508
rf,45,"(200, 8, 2, 1)",1,60,0.00017032199346930985,0.00015263675072009386,2.991081953048706,0.014232158660888672
rf,46,"(200, 8, 2, 3)",1,60,0.0001703104943787956,0.00015304330878248033,2.2593207359313965,0.014482975006103516
rf,47,"(200, 8, 2, 7)",1,60,0.00017029542114718518,0.00015303899369675602,2.843751907348633,0.10530781745910645
rf,48,"(200, 8, 4, 1)",1,60,0.00017028448303365405,0.00015346603625120207,3.3946950435638428,0.015581130981445312
rf,49,"(200, 8, 4, 3)",1,60,0.00017027405852620378,0.0001539216668619848,2.2794790267944336,0.01510310173034668
rf,50,"(200, 8, 4, 7)",1,60,0.00017025171270600669,0.0001538176250691558,2.0305747985839844,0.022503137588500977
rf,51,"(200, 8, 8, 1)",1,60,0.0001702402140623497,0.0001542423571234298,2.5919599533081055,0.014932870864868164
rf,52,"(200, 8, 8, 3)",1,60,0.00017022331656278898,0.00015449021720951203,2.0124599933624268,0.015699386596679688
rf,53,"(200, 8, 8, 7)",1,60,0.00017021121508661207,0.0001544744201005339,2.2536442279815674,0.015391111373901367
rf,54,"(300, 3, 2, 1)",1,60,0.00017020807807105532,0.00015004396702807043,1.805793046951294,0.01869797706604004
