;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mae_train;mae_test;LOSS;VAL_LOSS
471;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;64;20;15;Adam;0.001;None;0.0034973621368408;4.224388360977173;0.0007249992943891;0.0003996288656164;[0.010359276086091995, 0.004647791851311922, 0.00338435685262084, 0.002936528529971838, 0.002253785729408264, 0.0019291191129013896, 0.0017958002863451838, 0.0016073771985247731, 0.001311335596255958, 0.0010654149809852242, 0.000909975147806108, 0.0007774847908876836, 0.000733593013137579, 0.0008116806857287884, 0.0009657442569732666, 0.000616383389569819, 0.0005143017624504864, 0.0004725423059426248, 0.0004320199368521571, 0.0005160707514733076];[0.007049974519759417, 0.0038445130921900272, 0.0025349725037813187, 0.001972222700715065, 0.0020828046835958958, 0.0027552288956940174, 0.003102065995335579, 0.0019986466504633427, 0.0011234410339966416, 0.0013432217529043555, 0.0015655745519325137, 0.0009478573920205235, 0.0015145534416660666, 0.0009785797446966171, 0.0006453176029026508, 0.0015511041274294257, 0.0007944136159494519, 0.0005126103642396629, 0.00046595631283707917, 0.00039960723370313644]
472;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;64;20;15;Adam;0.001;None;0.8570284843444824;6.416326522827148;0.0124080405601781;0.0187943148882469;[0.059714894741773605, 0.04148898646235466, 0.03665227070450783, 0.033681221306324005, 0.03252213075757027, 0.02707461640238762, 0.026516113430261612, 0.024539843201637268, 0.02438439428806305, 0.021529965102672577, 0.020399369299411774, 0.020879674702882767, 0.01972748339176178, 0.01811523549258709, 0.016370220109820366, 0.014831513166427612, 0.015430005267262459, 0.01504309382289648, 0.015654146671295166, 0.013880757614970207];[0.053359609097242355, 0.07310296595096588, 0.034825343638658524, 0.04444035142660141, 0.053446363657712936, 0.04501871392130852, 0.0272844098508358, 0.04202432185411453, 0.05547773092985153, 0.027065083384513855, 0.03801153972744942, 0.06187466159462929, 0.04403991624712944, 0.02448638714849949, 0.02544054575264454, 0.019451988860964775, 0.01917235739529133, 0.0422753281891346, 0.01911349408328533, 0.018794314935803413]
473;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;64;20;15;Adam;0.001;None;0.0012211799621582;1.443147897720337;0.0045198658543387;0.005511304442843;[0.10460855811834335, 0.06181953847408295, 0.050284627825021744, 0.03787921741604805, 0.03173775225877762, 0.02662489004433155, 0.021601902320981026, 0.01996932178735733, 0.016696695238351822, 0.01584579050540924, 0.014956487342715263, 0.010375912301242352, 0.010601175017654896, 0.010236036963760853, 0.00822294782847166, 0.0074729532934725285, 0.006760168820619583, 0.006431139539927244, 0.005213021766394377, 0.004963231738656759];[0.076102115213871, 0.04928816482424736, 0.046631790697574615, 0.029788784682750702, 0.03225148096680641, 0.022670980542898178, 0.02540854923427105, 0.025833383202552795, 0.025708578526973724, 0.01184670440852642, 0.010047116316854954, 0.009843935258686543, 0.008092636242508888, 0.010737357661128044, 0.008519730530679226, 0.0060972124338150024, 0.010383748449385166, 0.01128690131008625, 0.004285445436835289, 0.005512996576726437]
474;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;64;20;15;Adam;0.01;None;0.0021073818206787;3.262392282485962;0.0005976854309799;0.0016219219272136;[0.07607292383909225, 0.015670524910092354, 0.005187841597944498, 0.0033002879936248064, 0.0022534469608217478, 0.0015682857483625412, 0.0013957563787698746, 0.0013305499451234937, 0.001856163959018886, 0.001530732261016965, 0.0007490561110898852, 0.0007432070560753345, 0.0009417952969670296, 0.0006707523134537041, 0.0008460207027383149, 0.000766473007388413, 0.0008143613231368363, 0.0005221794126555324, 0.000573910481762141, 0.0005177315906621516];[0.14667518436908722, 0.01097083743661642, 0.017229869961738586, 0.006845476571470499, 0.004068367648869753, 0.006862758658826351, 0.0030167882796376944, 0.00424530915915966, 0.00314274150878191, 0.005934399552643299, 0.001951947226189077, 0.003613122273236513, 0.0020226039923727512, 0.0014235406415537, 0.0011511596385389566, 0.003097821492701769, 0.0010697998804971576, 0.0013137799687683582, 0.0012166728265583515, 0.001621816772967577]
475;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;64;20;15;Adam;0.01;None;0.0020384788513183;3.322834253311157;0.002609656606286;0.0065841848096608;[0.07891582697629929, 0.012796805240213871, 0.004921543877571821, 0.003286084858700633, 0.0034960205666720867, 0.0022676310036331415, 0.0020533576607704163, 0.0029339983593672514, 0.0018045116448774934, 0.0014459667727351189, 0.0018353544874116778, 0.0018307254649698734, 0.0025757993571460247, 0.002059405203908682, 0.0014690792886540294, 0.0012610192643478513, 0.0011198471765965223, 0.0018989269156008959, 0.0016219776589423418, 0.002689726883545518];[0.07459012418985367, 0.016111865639686584, 0.010301402769982815, 0.004002581350505352, 0.005112379789352417, 0.0022468348033726215, 0.012290572747588158, 0.0016037746099755168, 0.005024926736950874, 0.0015148394741117954, 0.0069462815299630165, 0.002498800866305828, 0.010099443607032299, 0.002148305531591177, 0.002509690821170807, 0.0020568131003528833, 0.003424253547564149, 0.0026368964463472366, 0.005258833058178425, 0.006584251765161753]
476;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;64;20;15;Adam;0.01;None;0.0035970211029052;4.232953310012817;0.0003088777270794;0.0003702282337255;[0.02737138606607914, 0.003923405427485704, 0.0012452934170141816, 0.0006700231460854411, 0.0015543224290013313, 0.0026180644053965807, 0.0011383811943233013, 0.0005389933357946575, 0.0005616761045530438, 0.0004235012747813016, 0.0010548492427915335, 0.0007333713001571596, 0.0006696159252896905, 0.0006005647592246532, 0.000579694751650095, 0.0005370312137529254, 0.00035891527659259737, 0.000703240220900625, 0.000601849693339318, 0.0006941987085156143];[0.013329191133379936, 0.006803000811487436, 0.0022763744927942753, 0.0014310049591585994, 0.0008742145146243274, 0.0005871886387467384, 0.0012708022259175777, 0.000703124504070729, 0.0003232663148082793, 0.0005740075139328837, 0.0015082688769325614, 0.0008994881063699722, 0.0005315192393027246, 0.0006530164973810315, 0.000477437162771821, 0.00043358354014344513, 0.0011051646433770657, 0.0007439238834194839, 0.0005217961734160781, 0.00037023669574409723]
477;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;64;20;15;Adam;0.01;None;0.0034940242767333;4.271193265914917;0.0003625465742591;0.0009636420187428;[0.029698822647333145, 0.006995574105530977, 0.002940039150416851, 0.0025123441591858864, 0.0016628331504762173, 0.002274439437314868, 0.0012286847922950983, 0.0009165937080979347, 0.0006310377502813935, 0.001234327326528728, 0.0011405936675146222, 0.0006724023260176182, 0.0005301389610394835, 0.0005076549132354558, 0.0005066524026915431, 0.0005271391710266471, 0.0015277438797056675, 0.0011062923585996032, 0.0010440389160066843, 0.0010295434622094035];[0.022870047017931938, 0.004716149065643549, 0.005845535080879927, 0.005469352938234806, 0.0006679212092421949, 0.001715160207822919, 0.0018396810628473759, 0.0007509459974244237, 0.0004876956227235496, 0.00042736134491860867, 0.0018371996702626348, 0.0020335635636001825, 0.001534610753878951, 0.0006006287294439971, 0.0009541353792883456, 0.0009738713852129877, 0.0006103753694333136, 0.00041800353210419416, 0.00042134596151299775, 0.0009636859176680446]
478;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;64;20;15;Adam;0.01;None;0.8749203681945801;6.422300577163696;0.0020577667360161;0.0061779413655252;[0.1732015162706375, 0.06332875788211823, 0.0298172477632761, 0.012876175343990326, 0.012586806900799274, 0.016786711290478706, 0.018593566492199898, 0.015793384984135628, 0.007885834202170372, 0.005738630425184965, 0.013965575024485588, 0.019417235627770424, 0.017471179366111755, 0.011212167330086231, 0.006017847917973995, 0.005689273588359356, 0.0051420265808701515, 0.004755909088999033, 0.0038029421120882034, 0.003504591528326273];[0.4942542612552643, 0.08944035321474075, 0.04226341471076012, 0.06258366256952286, 0.13338196277618408, 0.020246708765625954, 0.054778337478637695, 0.03174005076289177, 0.039051901549100876, 0.022848140448331833, 0.1441345363855362, 0.17680521309375763, 0.06526858359575272, 0.053177446126937866, 0.02475033327937126, 0.025799566879868507, 0.03863357752561569, 0.017353547737002373, 0.01634172350168228, 0.006177941337227821]
479;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;64;20;15;Adam;0.01;None;0.0012333393096923;1.4173548221588137;0.0018742227883127;0.0011529587192145;[0.5921571850776672, 0.06070132181048393, 0.019216110929846764, 0.008767110295593739, 0.004903965163975954, 0.004056304693222046, 0.0030141556635499, 0.002149089938029647, 0.0020035086199641228, 0.003282705321907997, 0.003838389180600643, 0.006325896363705397, 0.004165567923337221, 0.00604192353785038, 0.004502820782363415, 0.003867484163492918, 0.0043785772286355495, 0.009475660510361195, 0.005459874402731657, 0.004226004704833031];[0.032319433987140656, 0.045793406665325165, 0.023117156699299812, 0.005273505579680204, 0.0026443523820489645, 0.0024496051482856274, 0.0018979511223733425, 0.002928809029981494, 0.0025863705668598413, 0.0044738114811480045, 0.0014379447093233466, 0.000948812288697809, 0.002972656860947609, 0.00206444482319057, 0.00879881251603365, 0.003321284893900156, 0.00722168106585741, 0.005144778173416853, 0.00199828390032053, 0.0011528244940564036]
480;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;32;20;33;Adam;0.001;minmax;0.0020298957824707;3.752678394317627;0.0001470558592656;0.0001492991594611;[0.19907064735889435, 0.1340750753879547, 0.11811769008636475, 0.11326981335878372, 0.11076896637678146, 0.10707053542137146, 0.10624953359365463, 0.10558104515075684, 0.10469742864370346, 0.10325159877538681, 0.1032712534070015, 0.10193143039941788, 0.09932608157396317, 0.09964849054813385, 0.09805966913700104, 0.09690293669700623, 0.09702785313129425, 0.09563450515270233, 0.10004930943250656, 0.0948149785399437];[0.17999014258384705, 0.11951582133769989, 0.10943938046693802, 0.10726399719715118, 0.1055101677775383, 0.10696826130151749, 0.10157600045204163, 0.10195700824260712, 0.10039230436086655, 0.11481528729200363, 0.0986519381403923, 0.09811069816350937, 0.10861300677061081, 0.0979018583893776, 0.09733277559280396, 0.0971192941069603, 0.09701533615589142, 0.10461203753948212, 0.09632426500320435, 0.09760858118534088]
481;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;32;20;33;Adam;0.001;minmax;0.001922607421875;3.7554502487182617;0.0001575487838564;0.0001661101879054;[0.21248981356620789, 0.15707509219646454, 0.14505405724048615, 0.13104186952114105, 0.11948458105325699, 0.11098245531320572, 0.10845396667718887, 0.10607539117336273, 0.10528525710105896, 0.10908666253089905, 0.10373234748840332, 0.10185891389846802, 0.10187038034200668, 0.10161617398262024, 0.10028963536024094, 0.09949322044849396, 0.09849198907613754, 0.10114451497793198, 0.09867411106824875, 0.10063188523054123];[0.2542475163936615, 0.18967776000499725, 0.15364980697631836, 0.14114271104335785, 0.11046326160430908, 0.11159038543701172, 0.10669474303722382, 0.11308865249156952, 0.11337324231863022, 0.10356172919273376, 0.10182090103626251, 0.10222400724887848, 0.09943156689405441, 0.10150177776813507, 0.09816917777061462, 0.10207556188106537, 0.1015225276350975, 0.10819733142852783, 0.11391209065914154, 0.10859926789999008]
482;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;32;20;33;Adam;0.001;minmax;0.0036156177520751;5.153054237365723;0.000149523349762;0.0001484765389448;[0.2740994393825531, 0.15910398960113525, 0.1498521864414215, 0.14096620678901672, 0.12469127029180527, 0.12118654698133469, 0.11385676264762878, 0.11070045828819275, 0.10901395231485367, 0.11863430589437485, 0.11154528707265854, 0.10741341859102249, 0.10702818632125854, 0.10441615432500839, 0.10444585233926773, 0.10315050929784775, 0.10573568940162659, 0.10067679733037949, 0.09939903765916824, 0.09857729077339172];[0.20291997492313385, 0.1923665702342987, 0.1713302731513977, 0.14447620511054993, 0.11145433783531189, 0.12221283465623856, 0.1084323301911354, 0.10500650852918625, 0.12755194306373596, 0.11888492107391357, 0.11772702634334564, 0.10579553246498108, 0.10462753474712372, 0.10438022762537003, 0.10055670887231827, 0.09985705465078354, 0.10114387422800064, 0.10027609765529633, 0.0999264121055603, 0.09707076847553253]
